frame_id,relative_path,reason
4982,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213164200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213164200_12.2_54.2_73.0_135.0.png'
4983,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213164800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213164800_12.2_54.2_73.0_135.0.png'
4984,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213165400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213165400_12.2_54.2_73.0_135.0.png'
4985,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213170000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213170000_12.2_54.2_73.0_135.0.png'
4986,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213170600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213170600_12.2_54.2_73.0_135.0.png'
4987,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213171200_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213171200_12.2_54.2_73.0_135.0.png'
4988,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213171800_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213171800_12.2_54.2_73.0_135.0.png'
4989,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213172400_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213172400_12.2_54.2_73.0_135.0.png'
4990,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213173000_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213173000_12.2_54.2_73.0_135.0.png'
4991,Z_RADA_C_BABJ_P_ACHN_CREF000_20260213173600_12.2_54.2_73.0_135.0.png,[Errno 2] No such file or directory: 'D:\\BaiduNetdiskDownload\\气象大模型数据（中南）-20260224\\气象雷达拼图（UTC）\\Z_RADA_C_BABJ_P_ACHN_CREF000_20260213173600_12.2_54.2_73.0_135.0.png'
