scope,step,mae,mse,csi,pod,far,classification_metrics_status,classification_metrics_reason
overall,all,0.0005096204602481748,3.252675068014589e-05,,,,not_computed,当前缺少完整的 RGB 颜色—回波强度等级色标，无法确定统一的活动回波阈值
lead_time,1,0.0004548835676226175,3.100061430026924e-05,,,,not_computed,当前缺少完整的 RGB 颜色—回波强度等级色标，无法确定统一的活动回波阈值
lead_time,2,0.00036199372107681427,2.926288958932105e-05,,,,not_computed,当前缺少完整的 RGB 颜色—回波强度等级色标，无法确定统一的活动回波阈值
lead_time,3,0.0007119840920450926,3.731674815084733e-05,,,,not_computed,当前缺少完整的 RGB 颜色—回波强度等级色标，无法确定统一的活动回波阈值
